É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/05/16 06:05:29

,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq
2026/5/4 6:00:00,16.6,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,3.0,8,êºìÏêº,8,1,,0,1,74,8,1,14.0,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 7:00:00,16.5,8,1,0,1,8,1,,,1,1,0.1,0,8,1,4.3,8,êºìÏêº,8,1,,0,1,67,8,1,12.6,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 8:00:00,16.9,8,1,0,1,8,1,,,1,1,0.3,0,8,1,4.2,8,êºìÏêº,8,1,,0,1,66,8,1,12.7,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 9:00:00,17.5,8,1,0,1,8,1,,,1,1,0.4,0,8,1,4.4,8,êº,8,1,,0,1,59,8,1,11.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 10:00:00,17.3,8,1,0.0,0,8,1,,,1,1,0.1,0,8,1,8.9,8,êº,8,1,,0,1,57,8,1,11.3,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 11:00:00,15.1,8,1,0.0,0,8,1,,,1,1,0.2,0,8,1,8.4,8,êº,8,1,,0,1,73,8,1,12.5,8,1,10,8,1,,0,1,18.2,8,1
2026/5/4 12:00:00,14.9,8,1,0.0,0,8,1,,,1,1,0.1,0,8,1,7.7,8,êº,8,1,,0,1,75,8,1,12.7,8,1,10,8,1,,0,1,12.6,8,1
2026/5/4 13:00:00,16.4,8,1,0.0,0,8,1,,,1,1,0.6,0,8,1,8.2,8,êºñkêº,8,1,,0,1,63,8,1,11.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 14:00:00,14.9,8,1,4.0,0,8,1,,,1,1,0.1,0,8,1,6.5,8,êºñkêº,8,1,,0,1,77,8,1,13.0,8,1,10,8,1,,0,1,20.0,8,1
2026/5/4 15:00:00,13.9,8,1,0.5,0,8,1,,,1,1,0.1,0,8,1,4.0,8,êº,8,1,,0,1,85,8,1,13.5,8,1,10,8,1,,0,1,20.0,8,1
2026/5/4 16:00:00,14.1,8,1,0.5,0,8,1,,,1,1,0.1,0,8,1,3.8,8,êº,8,1,,0,1,82,8,1,13.2,8,1,10,8,1,,0,1,20.0,8,1
2026/5/4 17:00:00,14.6,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,4.7,8,êºñkêº,8,1,,0,1,72,8,1,12.0,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 18:00:00,14.5,8,1,0.0,0,8,1,,,1,1,0.2,0,8,1,4.9,8,êº,8,1,,0,1,69,8,1,11.4,8,1,10,8,1,,0,1,20.0,8,1
2026/5/4 19:00:00,12.7,8,1,0.0,0,8,1,,,1,1,0.7,0,8,1,1.9,8,ìÏêº,8,1,,0,1,82,8,1,12.0,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 20:00:00,12.8,8,1,0,1,8,1,,,1,1,0,1,8,1,1.0,8,êºìÏêº,8,1,,0,1,82,8,1,12.1,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 21:00:00,12.8,8,1,0,1,8,1,,,1,1,0,1,8,1,2.1,8,ñkêº,8,1,,0,1,77,8,1,11.4,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 22:00:00,11.6,8,1,0,1,8,1,,,1,1,0,1,8,1,1.8,8,ìÏìÏìå,8,1,,0,1,87,8,1,11.9,8,1,4,8,1,,0,1,20.0,8,1
2026/5/4 23:00:00,10.5,8,1,0,1,8,1,,,1,1,0,1,8,1,1.8,8,ìÏìÏìå,8,1,,0,1,92,8,1,11.7,8,1,4,8,1,,0,1,20.0,8,1
2026/5/5 00:00:00,10.1,8,1,0,1,8,1,,,1,1,0,1,8,1,1.3,8,ìÏ,8,1,,0,1,92,8,1,11.4,8,1,4,8,1,,0,1,6.06,8,1
2026/5/5 1:00:00,9.9,8,1,0,1,8,1,,,1,1,0,1,8,1,1.5,8,ìÏ,8,1,,0,1,92,8,1,11.2,8,1,4,8,1,,0,1,20.0,8,1
2026/5/5 2:00:00,9.1,8,1,0,1,8,1,,,1,1,0,1,8,1,1.2,8,ìÏìÏìå,8,1,,0,1,93,8,1,10.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 3:00:00,8.6,8,1,0,1,8,1,,,1,1,0,1,8,1,1.3,8,ìÏìÏìå,8,1,,0,1,94,8,1,10.5,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 4:00:00,7.8,8,1,0,1,8,1,,,1,1,0,1,8,1,0.8,8,ìÏìå,8,1,,0,1,95,8,1,10.1,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 5:00:00,7.1,8,1,0,1,8,1,,,1,1,0,1,8,1,1.1,8,ìÏìå,8,1,,0,1,94,8,1,9.5,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 6:00:00,7.9,8,1,0,1,8,1,,,1,1,0.6,0,8,1,1.3,8,ìÏ,8,1,,0,1,91,8,1,9.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 7:00:00,10.2,8,1,0,1,8,1,,,1,1,1.0,0,8,1,2.1,8,ìÏìÏìå,8,1,,0,1,76,8,1,9.5,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 8:00:00,13.9,8,1,0,1,8,1,,,1,1,1.0,0,8,1,1.3,8,ìÏìÏìå,8,1,,0,1,68,8,1,10.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 9:00:00,16.7,8,1,0,1,8,1,,,1,1,1.0,0,8,1,1.1,8,ìå,8,1,,0,1,48,8,1,9.1,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 10:00:00,19.3,8,1,0,1,8,1,,,1,1,1.0,0,8,1,2.0,8,ñk,8,1,,0,1,42,8,1,9.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 11:00:00,20.2,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.3,8,ñkñkìå,8,1,,0,1,44,8,1,10.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 12:00:00,20.4,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.8,8,ñkìå,8,1,,0,1,36,8,1,8.6,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 13:00:00,20.9,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.5,8,ñkñkìå,8,1,,0,1,29,8,1,7.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 14:00:00,20.5,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.6,8,ñkñkìå,8,1,,0,1,41,8,1,9.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 15:00:00,20.4,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.7,8,ñkñkìå,8,1,,0,1,41,8,1,9.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 16:00:00,19.8,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.8,8,ñkñkìå,8,1,,0,1,44,8,1,10.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 17:00:00,18.8,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.5,8,ñkñkìå,8,1,,0,1,48,8,1,10.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 18:00:00,18.4,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.3,8,ñkìå,8,1,,0,1,35,8,1,7.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 19:00:00,17.3,8,1,0,1,8,1,,,1,1,0.7,0,8,1,1.4,8,ìåñkìå,8,1,,0,1,44,8,1,8.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 20:00:00,15.6,8,1,0,1,8,1,,,1,1,0,1,8,1,0.8,8,ìÏìÏìå,8,1,,0,1,55,8,1,9.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 21:00:00,13.4,8,1,0,1,8,1,,,1,1,0,1,8,1,1.5,8,ìÏìå,8,1,,0,1,60,8,1,9.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 22:00:00,12.2,8,1,0,1,8,1,,,1,1,0,1,8,1,1.7,8,ìÏìå,8,1,,0,1,67,8,1,9.5,8,1,2,8,1,,0,1,20.0,8,1
2026/5/5 23:00:00,13.8,8,1,0,1,8,1,,,1,1,0,1,8,1,3.0,8,ìÏìÏìå,8,1,,0,1,58,8,1,9.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 00:00:00,13.1,8,1,0,1,8,1,,,1,1,0,1,8,1,1.0,8,ñkìå,8,1,,0,1,63,8,1,9.5,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 1:00:00,12.1,8,1,0,1,8,1,,,1,1,0,1,8,1,0.8,8,ìÏìÏìå,8,1,,0,1,66,8,1,9.3,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 2:00:00,11.8,8,1,0,1,8,1,,,1,1,0,1,8,1,2.1,8,ìÏìÏìå,8,1,,0,1,66,8,1,9.1,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 3:00:00,11.7,8,1,0,1,8,1,,,1,1,0,1,8,1,2.2,8,ìÏìÏìå,8,1,,0,1,68,8,1,9.3,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 4:00:00,12.6,8,1,0,1,8,1,,,1,1,0,1,8,1,1.2,8,ìÏ,8,1,,0,1,62,8,1,9.0,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 5:00:00,11.9,8,1,0,1,8,1,,,1,1,0,1,8,1,1.8,8,ìÏ,8,1,,0,1,66,8,1,9.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 6:00:00,11.0,8,1,0,1,8,1,,,1,1,0.6,0,8,1,1.8,8,ìÏìÏìå,8,1,,0,1,75,8,1,9.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 7:00:00,15.2,8,1,0,1,8,1,,,1,1,1.0,0,8,1,1.4,8,ìÏìÏìå,8,1,,0,1,56,8,1,9.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 8:00:00,18.9,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.4,8,ìÏìÏìå,8,1,,0,1,43,8,1,9.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 9:00:00,21.4,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.5,8,ìÏ,8,1,,0,1,39,8,1,9.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 10:00:00,21.8,8,1,0,1,8,1,,,1,1,1.0,0,8,1,2.1,8,ñkñkìå,8,1,,0,1,47,8,1,12.3,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 11:00:00,20.9,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.5,8,ñkñkìå,8,1,,0,1,46,8,1,11.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 12:00:00,22.7,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.7,8,ñkìå,8,1,,0,1,43,8,1,11.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 13:00:00,22.4,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.1,8,ñkñkìå,8,1,,0,1,43,8,1,11.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 14:00:00,22.2,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.7,8,ñkñkìå,8,1,,0,1,46,8,1,12.3,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 15:00:00,21.8,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.4,8,ñkìå,8,1,,0,1,45,8,1,11.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 16:00:00,22.0,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.2,8,ñkñkìå,8,1,,0,1,43,8,1,11.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 17:00:00,22.4,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.0,8,ñkìå,8,1,,0,1,40,8,1,10.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 18:00:00,20.8,8,1,0,1,8,1,,,1,1,1.0,0,8,1,2.4,8,ñkìå,8,1,,0,1,46,8,1,11.3,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 19:00:00,19.6,8,1,0,1,8,1,,,1,1,0.7,0,8,1,1.6,8,ìåìÏìå,8,1,,0,1,52,8,1,11.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 20:00:00,18.3,8,1,0,1,8,1,,,1,1,0,1,8,1,0.9,8,ìÏìÏìå,8,1,,0,1,59,8,1,12.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 21:00:00,16.7,8,1,0,1,8,1,,,1,1,0,1,8,1,1.0,8,ìÏìÏêº,8,1,,0,1,66,8,1,12.5,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 22:00:00,16.1,8,1,0,1,8,1,,,1,1,0,1,8,1,1.7,8,ìÏìÏìå,8,1,,0,1,72,8,1,13.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/6 23:00:00,16.6,8,1,0,1,8,1,,,1,1,0,1,8,1,1.7,8,ìÏìÏìå,8,1,,0,1,74,8,1,14.0,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 00:00:00,16.5,8,1,0,1,8,1,,,1,1,0,1,8,1,2.9,8,ìÏìÏìå,8,1,,0,1,74,8,1,13.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 1:00:00,17.5,8,1,0,1,8,1,,,1,1,0,1,8,1,2.7,8,ìÏ,8,1,,0,1,69,8,1,13.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 2:00:00,17.2,8,1,0,1,8,1,,,1,1,0,1,8,1,2.8,8,ìÏêº,8,1,,0,1,70,8,1,13.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 3:00:00,16.2,8,1,0,1,8,1,,,1,1,0,1,8,1,1.9,8,ìÏìÏìå,8,1,,0,1,74,8,1,13.6,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 4:00:00,15.2,8,1,0,1,8,1,,,1,1,0,1,8,1,1.5,8,ìÏìå,8,1,,0,1,79,8,1,13.6,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 5:00:00,14.4,8,1,0,1,8,1,,,1,1,0,1,8,1,1.2,8,ìÏêº,8,1,,0,1,82,8,1,13.5,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 6:00:00,14.2,8,1,0,1,8,1,,,1,1,0.6,0,8,1,0.8,8,ìåìÏìå,8,1,,0,1,83,8,1,13.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 7:00:00,17.5,8,1,0,1,8,1,,,1,1,1.0,0,8,1,0.8,8,ìÏìå,8,1,,0,1,73,8,1,14.6,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 8:00:00,20.7,8,1,0,1,8,1,,,1,1,1.0,0,8,1,0.4,8,ìå,8,1,,0,1,68,8,1,16.6,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 9:00:00,22.9,8,1,0,1,8,1,,,1,1,1.0,0,8,1,1.5,8,ñkñkêº,8,1,,0,1,57,8,1,15.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 10:00:00,23.8,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.0,8,ñkêº,8,1,,0,1,49,8,1,14.5,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 11:00:00,25.1,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.5,8,êºñkêº,8,1,,0,1,50,8,1,15.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 12:00:00,24.1,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.1,8,ñkñkìå,8,1,,0,1,52,8,1,15.6,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 13:00:00,24.4,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.8,8,ñkñkìå,8,1,,0,1,51,8,1,15.6,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 14:00:00,22.7,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.7,8,ñkìå,8,1,,0,1,61,8,1,16.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 15:00:00,22.8,8,1,0,1,8,1,,,1,1,0.9,0,8,1,2.6,8,ìåñkìå,8,1,,0,1,62,8,1,17.2,8,1,4,8,1,,0,1,20.0,8,1
2026/5/7 16:00:00,21.7,8,1,0,1,8,1,,,1,1,0.9,0,8,1,3.8,8,ìåñkìå,8,1,,0,1,67,8,1,17.4,8,1,4,8,1,,0,1,20.0,8,1
2026/5/7 17:00:00,20.9,8,1,0,1,8,1,,,1,1,0.5,0,8,1,3.1,8,ñkìå,8,1,,0,1,67,8,1,16.6,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 18:00:00,20.5,8,1,0,1,8,1,,,1,1,0.1,0,8,1,1.5,8,ìåñkìå,8,1,,0,1,69,8,1,16.6,8,1,4,8,1,,0,1,20.0,8,1
2026/5/7 19:00:00,20.2,8,1,0,1,8,1,,,1,1,0.1,0,8,1,1.5,8,ñkìå,8,1,,0,1,70,8,1,16.6,8,1,4,8,1,,0,1,20.0,8,1
2026/5/7 20:00:00,19.4,8,1,0,1,8,1,,,1,1,0,1,8,1,1.2,8,ìå,8,1,,0,1,75,8,1,16.9,8,1,4,8,1,,0,1,20.0,8,1
2026/5/7 21:00:00,18.9,8,1,0,1,8,1,,,1,1,0,1,8,1,0.7,8,ìÏ,8,1,,0,1,77,8,1,16.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/7 22:00:00,17.9,8,1,0,1,8,1,,,1,1,0,1,8,1,0.6,8,ìÏ,8,1,,0,1,82,8,1,16.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/7 23:00:00,17.9,8,1,0,1,8,1,,,1,1,0,1,8,1,0.8,8,ìÏìÏêº,8,1,,0,1,83,8,1,17.0,8,1,2,8,1,,0,1,20.0,8,1
2026/5/8 00:00:00,16.9,8,1,0,1,8,1,,,1,1,0,1,8,1,0.7,8,ìÏìÏêº,8,1,,0,1,86,8,1,16.6,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 1:00:00,17.1,8,1,0,1,8,1,,,1,1,0,1,8,1,1.2,8,ìÏìÏìå,8,1,,0,1,86,8,1,16.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 2:00:00,17.8,8,1,0,1,8,1,,,1,1,0,1,8,1,0.9,8,êº,8,1,,0,1,84,8,1,17.1,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 3:00:00,17.7,8,1,0,1,8,1,,,1,1,0,1,8,1,1.3,8,ìÏìÏêº,8,1,,0,1,84,8,1,17.0,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 4:00:00,16.9,8,1,0,1,8,1,,,1,1,0,1,8,1,1.4,8,ìÏìÏìå,8,1,,0,1,87,8,1,16.8,8,1,4,8,1,,0,1,19.0,8,1
2026/5/8 5:00:00,16.8,8,1,0,1,8,1,,,1,1,0,1,8,1,0.8,8,ìÏìå,8,1,,0,1,88,8,1,16.8,8,1,4,8,1,,0,1,19.5,8,1
2026/5/8 6:00:00,19.5,8,1,0,1,8,1,,,1,1,0.0,0,8,1,2.5,8,ìÏêº,8,1,,0,1,74,8,1,16.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 7:00:00,20.3,8,1,0,1,8,1,,,1,1,0.0,0,8,1,3.0,8,êº,8,1,,0,1,70,8,1,16.7,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 8:00:00,20.0,8,1,0,1,8,1,,,1,1,0.0,0,8,1,4.2,8,êºìÏêº,8,1,,0,1,66,8,1,15.4,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 9:00:00,20.4,8,1,0,1,8,1,,,1,1,0.0,0,8,1,2.7,8,ìÏêº,8,1,,0,1,64,8,1,15.3,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 10:00:00,20.6,8,1,0,1,8,1,,,1,1,0.0,0,8,1,3.9,8,êºìÏêº,8,1,,0,1,57,8,1,13.8,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 11:00:00,16.4,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,4.0,8,êºñkêº,8,1,,0,1,85,8,1,15.9,8,1,10,8,1,,0,1,15.1,8,1
2026/5/8 12:00:00,16.8,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,4.6,8,êº,8,1,,0,1,81,8,1,15.5,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 13:00:00,17.0,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,4.5,8,êº,8,1,,0,1,74,8,1,14.3,8,1,10,8,1,,0,1,20.0,8,1
2026/5/8 14:00:00,18.3,8,1,0.0,0,8,1,,,1,1,0.1,0,8,1,5.9,8,êº,8,1,,0,1,58,8,1,12.2,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 15:00:00,19.5,8,1,0,1,8,1,,,1,1,0.3,0,8,1,7.2,8,êºñkêº,8,1,,0,1,51,8,1,11.6,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 16:00:00,18.6,8,1,0,1,8,1,,,1,1,0.4,0,8,1,5.9,8,êºñkêº,8,1,,0,1,53,8,1,11.4,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 17:00:00,18.5,8,1,0,1,8,1,,,1,1,0.5,0,8,1,4.3,8,êºñkêº,8,1,,0,1,54,8,1,11.5,8,1,4,8,1,,0,1,20.0,8,1
2026/5/8 18:00:00,17.6,8,1,0,1,8,1,,,1,1,0.9,0,8,1,3.6,8,ñkêº,8,1,,0,1,56,8,1,11.3,8,1,2,8,1,,0,1,20.0,8,1
2026/5/8 19:00:00,16.6,8,1,0,1,8,1,,,1,1,0.6,0,8,1,3.0,8,êºñkêº,8,1,,0,1,60,8,1,11.3,8,1,2,8,1,,0,1,20.0,8,1
2026/5/8 20:00:00,15.0,8,1,0,1,8,1,,,1,1,0,1,8,1,1.0,8,ìÏ,8,1,,0,1,70,8,1,11.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/8 21:00:00,13.9,8,1,0,1,8,1,,,1,1,0,1,8,1,0.7,8,ìåìÏìå,8,1,,0,1,77,8,1,12.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/8 22:00:00,14.0,8,1,0,1,8,1,,,1,1,0,1,8,1,1.3,8,êºìÏêº,8,1,,0,1,73,8,1,11.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/8 23:00:00,13.7,8,1,0,1,8,1,,,1,1,0,1,8,1,1.3,8,ìÏìÏêº,8,1,,0,1,70,8,1,11.0,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 00:00:00,12.9,8,1,0,1,8,1,,,1,1,0,1,8,1,2.1,8,ìÏìÏêº,8,1,,0,1,73,8,1,10.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 1:00:00,13.7,8,1,0,1,8,1,,,1,1,0,1,8,1,3.2,8,ñkêº,8,1,,0,1,66,8,1,10.3,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 2:00:00,13.2,8,1,0,1,8,1,,,1,1,0,1,8,1,1.9,8,êºñkêº,8,1,,0,1,67,8,1,10.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 3:00:00,12.6,8,1,0,1,8,1,,,1,1,0,1,8,1,2.0,8,êºñkêº,8,1,,0,1,70,8,1,10.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 4:00:00,10.9,8,1,0,1,8,1,,,1,1,0,1,8,1,1.7,8,ìÏìå,8,1,,0,1,80,8,1,10.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 5:00:00,9.4,8,1,0,1,8,1,,,1,1,0,1,8,1,1.7,8,ìÏìÏìå,8,1,,0,1,87,8,1,10.3,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 6:00:00,9.8,8,1,0,1,8,1,,,1,1,0.7,0,8,1,2.1,8,ìÏìÏìå,8,1,,0,1,84,8,1,10.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 7:00:00,12.4,8,1,0,1,8,1,,,1,1,1.0,0,8,1,1.7,8,ìÏìå,8,1,,0,1,74,8,1,10.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 8:00:00,15.5,8,1,0,1,8,1,,,1,1,1.0,0,8,1,1.0,8,ìÏìÏìå,8,1,,0,1,59,8,1,10.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 9:00:00,17.5,8,1,0,1,8,1,,,1,1,1.0,0,8,1,1.8,8,ìÏêº,8,1,,0,1,42,8,1,8.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 10:00:00,19.4,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.0,8,êº,8,1,,0,1,40,8,1,9.0,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 11:00:00,19.8,8,1,0,1,8,1,,,1,1,1.0,0,8,1,2.6,8,ñk,8,1,,0,1,42,8,1,9.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 12:00:00,20.2,8,1,0,1,8,1,,,1,1,0.7,0,8,1,3.3,8,ñk,8,1,,0,1,39,8,1,9.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 13:00:00,20.1,8,1,0,1,8,1,,,1,1,0.9,0,8,1,4.1,8,ñk,8,1,,0,1,39,8,1,9.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 14:00:00,20.2,8,1,0,1,8,1,,,1,1,0.9,0,8,1,3.9,8,ñk,8,1,,0,1,40,8,1,9.5,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 15:00:00,20.2,8,1,0,1,8,1,,,1,1,0.9,0,8,1,4.6,8,ñk,8,1,,0,1,43,8,1,10.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 16:00:00,20.2,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.9,8,ñk,8,1,,0,1,46,8,1,10.9,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 17:00:00,19.1,8,1,0,1,8,1,,,1,1,1.0,0,8,1,4.3,8,ñk,8,1,,0,1,53,8,1,11.7,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 18:00:00,18.1,8,1,0,1,8,1,,,1,1,1.0,0,8,1,3.2,8,ñk,8,1,,0,1,55,8,1,11.4,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 19:00:00,17.0,8,1,0,1,8,1,,,1,1,0.8,0,8,1,2.4,8,ñkìå,8,1,,0,1,61,8,1,11.8,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 20:00:00,16.0,8,1,0,1,8,1,,,1,1,0,1,8,1,1.4,8,ìå,8,1,,0,1,67,8,1,12.2,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 21:00:00,14.4,8,1,0,1,8,1,,,1,1,0,1,8,1,2.1,8,ìÏìå,8,1,,0,1,74,8,1,12.1,8,1,2,8,1,,0,1,20.0,8,1
2026/5/9 22:00:00,12.7,8,1,0,1,8,1,,,1,1,0,1,8,1,1.9,8,ìÏìå,8,1,,0,1,80,8,1,11.7,8,1,2,8,1,,0,1,20.0,8,1
